지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,경쟁률(접수/선발),응시인원,응시율(%),경쟁률(응시/선발),필기합격인원,합격선,합격선기준,양성평등합격선,원본파일명,비고
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,일반행정,7급,장애인,3,149,49.7:1,61,40.9,20.3:1,5,82,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,감사,7급,일반,2,226,113.0:1,86,38.1,43.0:1,4,90,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,세무,지방세,7급,일반,3,731,243.7:1,259,35.4,86.3:1,5,84,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반기계,7급,일반,5,245,49.0:1,110,44.9,22.0:1,7,80,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반전기,7급,일반,1,192,192.0:1,57,29.7,57.0:1,4,72,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반화공,7급,일반,2,158,79.0:1,78,49.4,39.0:1,6,86,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,녹지,산림자원,7급,일반,4,122,30.5:1,41,33.6,10.2:1,7,73,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,녹지,조경,7급,일반,4,159,39.8:1,69,43.4,17.2:1,6,71,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,환경,일반환경,7급,일반,1,90,90.0:1,39,43.3,39.0:1,3,77,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,일반토목,7급,일반,24,369,15.4:1,163,44.2,6.8:1,33,68,과목평균,67,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,일반토목,7급,장애인,1,2,2.0:1,1,50.0,1.0:1,0,,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,건축,7급,일반,16,349,21.8:1,150,43.0,9.4:1,23,71,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,건축,7급,장애인,1,4,4.0:1,1,25.0,1.0:1,0,,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,방송통신,통신기술,7급,일반,4,186,46.5:1,70,37.6,17.5:1,7,65,과목평균,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,일반,57,603,10.6:1,375,62.2,6.6:1,76,54,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,장애인,3,7,2.3:1,4,57.1,1.3:1,0,,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설,건축,9급,저소득층,6,24,4.0:1,22,91.7,3.7:1,1,58,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,일반,36,320,8.9:1,163,50.9,4.5:1,53,68.33,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,장애인,3,14,4.7:1,10,71.4,3.3:1,2,43.33,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,저소득층,5,24,4.8:1,14,58.3,2.8:1,4,61.33,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,일반,30,315,10.5:1,171,54.3,5.7:1,49,75,과목평균,73.33,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,장애인,2,8,4.0:1,4,50.0,2.0:1,1,54.67,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,저소득층,4,13,3.2:1,6,46.2,1.5:1,2,71.67,과목평균,,2024년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,일반,456,10315,22.6:1,7017,68.0,15.4:1,540,88,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,지방의회,14,379,27.1:1,183,48.3,13.1:1,18,90,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,장애인,27,224,8.3:1,154,68.8,5.7:1,28,47,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2024,2회,공개경쟁,,행정직군,행정,일반행정,9급,저소득층,54,365,6.8:1,242,66.3,4.5:1,70,70,과목평균,,2024년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
