구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
A,서울,공무원,2023,1회,공개경쟁,,시설관리,기계시설,9급,저소득층,5,21,68.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,전기시설,9급,일반,17,208,73.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,전기시설,9급,지방의회,1,7,63.33,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,전기시설,9급,장애인,1,4,,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
A,서울,공무원,2023,1회,공개경쟁,,시설관리,전기시설,9급,저소득층,4,9,64.67,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,행정,일반행정,7급,일반,44,8987,96,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,행정,일반행정,7급,지방의회,10,799,95,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,행정,일반행정,7급,장애인,3,149,82,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,행정,감사,7급,일반,2,226,90,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,세무,지방세,7급,일반,3,731,84,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,공업,일반기계,7급,일반,5,245,80,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,공업,일반전기,7급,일반,1,192,72,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,공업,일반화공,7급,일반,2,158,86,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,녹지,산림자원,7급,일반,4,122,73,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,녹지,조경,7급,일반,4,159,71,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,환경,일반환경,7급,일반,1,90,77,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,시설,일반토목,7급,일반,24,369,68,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,시설,일반토목,7급,장애인,1,2,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,시설,건축,7급,일반,16,349,71,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,시설,건축,7급,장애인,1,4,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,서울,공무원,2023,2회,공개경쟁,,방송통신,통신기술,7급,일반,4,186,65,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx
B,부산,공무원,2023,2회,공개경쟁,,행정,일반행정,7급,일반,7,1539,95.00,2023년도 제2회 부산광역시 지방공무원 임용 필기시험 합격선(게시).pdf
B,대구,공무원,2023,3회,공개경쟁,,행정,일반행정,7급,일반,12,1338,94,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp
B,인천,공무원,2023,1회,공개경쟁,인천광역시,행정,일반행정,7급,일반,5,695,93,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf
B,인천,공무원,2023,1회,공개경쟁,인천광역시,시설,일반토목,7급,일반,1,28,60,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf
B,인천,공무원,2023,1회,공개경쟁,인천광역시,시설,건축,7급,일반,1,16,,2023년도 인천광역시 7급 필기시험 합격자 통계자료(공개용).pdf
B,광주,공무원,2023,2회,공개경쟁,,행정,일반행정,7급,일반,3,2363,95,★2023년도 제2회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,일반행정 전국,7급,일반,192,9822,86.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,우정사업본부,7급,일반,19,663,81.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,인사조직,7급,일반,4,585,85.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,재경,7급,일반,10,278,84.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,고용노동,7급,일반,18,714,77.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,교육행정,7급,일반,3,596,88.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,회계,7급,일반,3,93,74.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,행정,선거행정,7급,일반,18,865,80.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,세무,세무,7급,일반,82,3266,79.66,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,관세,관세,7급,일반,13,388,69.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,통계,통계,7급,일반,7,345,89.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,감사,감사,7급,일반,28,832,80.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
