지역,시험종류,연도,회차,시험구분,임용예정기관,직군,직렬,직류,직급,대상,선발예정인원,접수인원,접수여성,경쟁률(접수/선발),응시인원,응시여성,응시율,경쟁률(응시/선발),필기합격인원,필기합격여성,합격선,양성평등성별,양성평등합격선,최종합격인원,최종합격여성,원본파일명,비고
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,일반,174,579,197,3.3:1,417,145,72.0,2.4:1,224,75,50,,,180,63,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,장애인,16,1,0,0.1:1,1,0,100.0,0.1:1,0,0,,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,일반토목,9급,저소득층,21,10,4,0.5:1,9,3,90.0,0.4:1,3,0,58,,,3,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,일반,111,465,260,4.2:1,321,172,69.0,2.9:1,148,82,68,,,115,65,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,장애인,14,9,2,0.6:1,7,2,77.8,0.5:1,3,0,59,,,2,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설,건축,9급,저소득층,15,13,7,0.9:1,12,7,92.3,0.8:1,3,2,55,,,2,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방재안전,방재안전,9급,일반,64,313,119,4.9:1,192,75,61.3,3.0:1,83,33,78,,,68,28,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방재안전,방재안전,9급,저소득층,6,13,2,2.2:1,8,1,61.5,1.3:1,7,1,62,,,6,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,일반,32,193,64,6.0:1,127,40,65.8,4.0:1,44,17,75,,,35,13,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,장애인,2,2,0,1.0:1,1,0,50.0,0.5:1,0,0,,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,방송통신,통신기술,9급,저소득층,2,3,0,1.5:1,2,0,66.7,1.0:1,2,0,70,,,2,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,일반,27,274,30,10.2:1,162,15,59.1,6.0:1,39,6,75,여,73.33,32,6,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,장애인,1,11,3,11.0:1,7,2,63.6,7.0:1,0,0,,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,기계시설,9급,저소득층,5,21,2,4.2:1,12,2,57.1,2.4:1,1,0,68.33,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,일반,17,208,9,12.2:1,113,7,54.3,6.6:1,23,1,73.33,,,18,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,지방의회,1,7,1,7.0:1,6,0,85.7,6.0:1,3,0,63.33,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,장애인,1,4,0,4.0:1,1,0,25.0,1.0:1,0,0,,,,0,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,공개경쟁,,기술직군,시설관리,전기시설,9급,저소득층,4,9,0,2.3:1,8,0,88.9,2.0:1,4,0,64.67,,,4,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,의료기술,의료기술,9급,방사선,4,137,83,34.3:1,71,43,51.8,17.8:1,6,4,83.33,,,4,2,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,간호,간호,8급,일반,5,814,752,162.8:1,505,469,62.0,101.0:1,12,11,91.67,,,5,5,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,시설,지적,9급,일반,68,479,244,7.0:1,362,184,75.6,5.3:1,97,46,71.67,,,75,38,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,시설,지적,9급,장애인,3,4,0,1.3:1,3,0,75.0,1.0:1,1,0,65,,,1,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,운전,운전,9급,일반,85,756,7,8.9:1,515,4,68.1,6.1:1,117,1,82.5,,,103,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,기술직군,운전,운전,9급,지방의회,2,22,0,11.0:1,11,0,50.0,5.5:1,4,0,65,,,2,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,보훈청 추천,방호,방호,9급,보훈청 추천,8,40,11,5.0:1,30,8,75.0,3.8:1,10,1,72.5,,,8,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,보훈청 추천,시설관리,시설관리,9급,보훈청 추천,8,37,4,4.6:1,32,4,86.5,4.0:1,14,1,65,,,8,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,보훈청 추천,시설관리,기계시설,9급,보훈청 추천,9,15,4,1.7:1,10,3,66.7,1.1:1,4,1,62.5,,,3,1,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,보훈청 추천,시설관리,전기시설,9급,보훈청 추천,5,10,0,2.0:1,5,0,50.0,1.0:1,2,0,70.5,,,2,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,1회,경력경쟁,,보훈청 추천,운전,운전,9급,보훈청 추천,18,12,1,0.7:1,8,1,66.7,0.4:1,4,0,62.5,,,4,0,2023년도 제1회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,일반행정,7급,일반,44,8987,5731,204.3:1,5229,3342,58.2,118.8:1,70,45,96,남,95,67,44,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,일반행정,7급,지방의회,10,799,401,79.9:1,404,202,50.6,40.4:1,13,4,95,,,12,4,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,일반행정,7급,장애인,3,149,56,49.7:1,61,21,40.9,20.3:1,5,1,82,,,3,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,행정,감사,7급,일반,2,226,105,113.0:1,86,39,38.1,43.0:1,4,1,90,,,2,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,행정직군,세무,지방세,7급,일반,3,731,399,243.7:1,259,134,35.4,86.3:1,5,1,84,,,3,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반기계,7급,일반,5,245,50,49.0:1,110,24,44.9,22.0:1,7,2,80,,,5,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반전기,7급,일반,1,192,38,192.0:1,57,9,29.7,57.0:1,4,1,72,,,1,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,공업,일반화공,7급,일반,2,158,71,79.0:1,78,34,49.4,39.0:1,6,2,86,,,2,1,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,녹지,산림자원,7급,일반,4,122,74,30.5:1,41,22,33.6,10.3:1,7,5,73,,,4,2,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,녹지,조경,7급,일반,4,159,121,39.8:1,69,51,43.4,17.3:1,6,4,71,,,4,3,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,환경,일반환경,7급,일반,1,90,55,90.0:1,39,21,43.3,39.0:1,3,1,77,,,1,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,일반토목,7급,일반,24,369,118,15.4:1,163,45,44.2,6.8:1,33,6,68,여,67,26,6,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
서울,공무원,2023,2회,공개경쟁,,기술직군,시설,일반토목,7급,장애인,1,2,0,2.0:1,1,0,50.0,1.0:1,0,0,,,,0,0,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,
