지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
서울,2025,2회,,과학기술직군,녹지,산림자원,일반,2,136,67,82,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복38
서울,2025,2회,,기술직군,녹지,산림자원,일반,2,136,67,82,서울 7급 현황+합격선 병합,중복38
서울,2025,2회,,과학기술직군,녹지,조경,일반,2,161,55,66,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복39
서울,2025,2회,,기술직군,녹지,조경,일반,2,161,55,66,서울 7급 현황+합격선 병합,중복39
서울,2025,2회,,과학기술직군,시설,일반토목,일반,15,413,156,66,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복40
서울,2025,2회,,기술직군,시설,일반토목,일반,15,413,156,66,서울 7급 현황+합격선 병합,중복40
서울,2025,2회,,과학기술직군,시설,일반토목,장애인,1,2,1,,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복41
서울,2025,2회,,기술직군,시설,일반토목,장애인,1,2,1,,서울 7급 현황+합격선 병합,중복41
서울,2025,2회,,과학기술직군,시설,건축,일반,6,313,104,74,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복42
서울,2025,2회,,기술직군,시설,건축,일반,6,313,104,74,서울 7급 현황+합격선 병합,중복42
서울,2025,2회,,과학기술직군,시설,건축,장애인,1,8,4,60,2025년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복43
서울,2025,2회,,기술직군,시설,건축,장애인,1,8,4,60,서울 7급 현황+합격선 병합,중복43
대구,2023,3회,,,행정,일반행정,일반,12,1338,777,94,2023(붙임2) 합격선(제3회 지방공무원 임용 필기시험) (1).hwp,중복44
대구,2023,3회,,행정직군,행정,일반행정,일반,12,1338,777,94,대구 7급 응시율+합격선 병합,중복44
대구,2024,3회,,,행정,일반행정,일반,6,1113,530,94,2024(붙임2) 합격선(제3회 지방공무원 임용 필기시험).hwp,중복45
대구,2024,3회,,행정직군,행정,일반행정,일반,6,1113,530,94.00,대구 7급 응시율+합격선 병합,중복45
대구,2025,3회,,,행정,일반행정,일반,2,681,331,88,2025★(붙임2) 합격선(제3회 지방공무원 임용 필기시험).hwp,중복46
대구,2025,3회,,행정직군,행정,일반행정,일반,2,681,331,88,대구 7급 응시율+합격선 병합,중복46
광주,2023,2회,,,행정,일반행정,일반,3,2363,391,95,★2023년도 제2회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,중복47
광주,2023,2회,,행정직군,행정,일반행정,일반,3,653,391,95,광주 7급 응시율+합격선 병합,중복47
광주,2024,2회,,,행정,일반행정,일반,2,1708,247,96,★2024년도 제2회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwp,중복48
광주,2024,2회,,행정직군,행정,일반행정,일반,2,446,247,96,광주 7급 응시율+합격선 병합,중복48
광주,2025,2회,,,행정,일반행정,일반,3,1590,234,88,★2025년도 제2회 광주광역시 지방공무원 임용 필기시험 합격자 및 면접시험 시행계획 공고.hwpx,중복49
광주,2025,2회,,행정직군,행정,일반행정,일반,3,436,234,88,광주 7급 응시율+합격선 병합,중복49
